Using cpu device
Wrapping the env in a DummyVecEnv.
Logging to D:\PycharmProjects\simple-dynamic-path-planning\runs\round3-predictive-seed3\logs\tensorboard\PPO_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 155      |
|    ep_rew_mean     | -92.4    |
|    success_rate    | 0        |
| time/              |          |
|    fps             | 1764     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 2048     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 204          |
|    ep_rew_mean          | -25          |
|    success_rate         | 0            |
| time/                   |              |
|    fps                  | 1406         |
|    iterations           | 2            |
|    time_elapsed         | 2            |
|    total_timesteps      | 4096         |
| train/                  |              |
|    approx_kl            | 0.0057329824 |
|    clip_fraction        | 0.0221       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.84        |
|    explained_variance   | -0.00434     |
|    learning_rate        | 0.0001       |
|    loss                 | 916          |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00606     |
|    std                  | 1            |
|    value_loss           | 1.81e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 224         |
|    ep_rew_mean          | 87.6        |
|    success_rate         | 0.0741      |
| time/                   |             |
|    fps                  | 1283        |
|    iterations           | 3           |
|    time_elapsed         | 4           |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.005908186 |
|    clip_fraction        | 0.0337      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.84       |
|    explained_variance   | 0.0557      |
|    learning_rate        | 0.0001      |
|    loss                 | 596         |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00927    |
|    std                  | 1.01        |
|    value_loss           | 1.27e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 221          |
|    ep_rew_mean          | 144          |
|    success_rate         | 0.114        |
| time/                   |              |
|    fps                  | 1216         |
|    iterations           | 4            |
|    time_elapsed         | 6            |
|    total_timesteps      | 8192         |
| train/                  |              |
|    approx_kl            | 0.0042265626 |
|    clip_fraction        | 0.012        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.85        |
|    explained_variance   | 0.0737       |
|    learning_rate        | 0.0001       |
|    loss                 | 714          |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00582     |
|    std                  | 1.01         |
|    value_loss           | 2e+03        |
------------------------------------------
round3-predictive-seed3 validation 10000-40: 12/60, base=311.218, shaped=272.650
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 204          |
|    ep_rew_mean          | 185          |
|    success_rate         | 0.143        |
| time/                   |              |
|    fps                  | 798          |
|    iterations           | 5            |
|    time_elapsed         | 12           |
|    total_timesteps      | 10240        |
| train/                  |              |
|    approx_kl            | 0.0042069815 |
|    clip_fraction        | 0.0105       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.85        |
|    explained_variance   | 0.0423       |
|    learning_rate        | 0.0001       |
|    loss                 | 1.18e+03     |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00389     |
|    std                  | 1.01         |
|    value_loss           | 1.73e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 189          |
|    ep_rew_mean          | 208          |
|    success_rate         | 0.156        |
| time/                   |              |
|    fps                  | 837          |
|    iterations           | 6            |
|    time_elapsed         | 14           |
|    total_timesteps      | 12288        |
| train/                  |              |
|    approx_kl            | 0.0014433174 |
|    clip_fraction        | 0.000781     |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.86        |
|    explained_variance   | 0.029        |
|    learning_rate        | 0.0001       |
|    loss                 | 1.45e+03     |
|    n_updates            | 50           |
|    policy_gradient_loss | -0.00169     |
|    std                  | 1.01         |
|    value_loss           | 2.7e+03      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 197         |
|    ep_rew_mean          | 230         |
|    success_rate         | 0.169       |
| time/                   |             |
|    fps                  | 869         |
|    iterations           | 7           |
|    time_elapsed         | 16          |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.004434889 |
|    clip_fraction        | 0.0137      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.86       |
|    explained_variance   | 0.0342      |
|    learning_rate        | 0.0001      |
|    loss                 | 1.08e+03    |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.00488    |
|    std                  | 1.01        |
|    value_loss           | 2.74e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 198         |
|    ep_rew_mean          | 253         |
|    success_rate         | 0.183       |
| time/                   |             |
|    fps                  | 892         |
|    iterations           | 8           |
|    time_elapsed         | 18          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.004094955 |
|    clip_fraction        | 0.0124      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.85       |
|    explained_variance   | 0.142       |
|    learning_rate        | 0.0001      |
|    loss                 | 1.29e+03    |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.00507    |
|    std                  | 1.01        |
|    value_loss           | 2.05e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 202          |
|    ep_rew_mean          | 271          |
|    success_rate         | 0.189        |
| time/                   |              |
|    fps                  | 912          |
|    iterations           | 9            |
|    time_elapsed         | 20           |
|    total_timesteps      | 18432        |
| train/                  |              |
|    approx_kl            | 0.0055347364 |
|    clip_fraction        | 0.0273       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.86        |
|    explained_variance   | 0.0483       |
|    learning_rate        | 0.0001       |
|    loss                 | 1.03e+03     |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00485     |
|    std                  | 1.01         |
|    value_loss           | 2.23e+03     |
------------------------------------------
round3-predictive-seed3 validation 20000-90: 15/60, base=329.295, shaped=293.402
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 198          |
|    ep_rew_mean          | 287          |
|    success_rate         | 0.19         |
| time/                   |              |
