Using cpu device
Wrapping the env in a DummyVecEnv.
Logging to D:\PycharmProjects\simple-dynamic-path-planning\runs\round3-instant-seed2\logs\tensorboard\PPO_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 279      |
|    ep_rew_mean     | -122     |
|    success_rate    | 0        |
| time/              |          |
|    fps             | 1817     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 2048     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 276          |
|    ep_rew_mean          | 59.4         |
|    success_rate         | 0.0769       |
| time/                   |              |
|    fps                  | 1444         |
|    iterations           | 2            |
|    time_elapsed         | 2            |
|    total_timesteps      | 4096         |
| train/                  |              |
|    approx_kl            | 0.0063500972 |
|    clip_fraction        | 0.0253       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.84        |
|    explained_variance   | 0.0208       |
|    learning_rate        | 0.0001       |
|    loss                 | 563          |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.0066      |
|    std                  | 1            |
|    value_loss           | 1.56e+03     |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 286        |
|    ep_rew_mean          | 181        |
|    success_rate         | 0.0952     |
| time/                   |            |
|    fps                  | 1339       |
|    iterations           | 3          |
|    time_elapsed         | 4          |
|    total_timesteps      | 6144       |
| train/                  |            |
|    approx_kl            | 0.00313005 |
|    clip_fraction        | 0.0064     |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.84      |
|    explained_variance   | 0.102      |
|    learning_rate        | 0.0001     |
|    loss                 | 564        |
|    n_updates            | 20         |
|    policy_gradient_loss | -0.00355   |
|    std                  | 1          |
|    value_loss           | 1.51e+03   |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 282          |
|    ep_rew_mean          | 215          |
|    success_rate         | 0.069        |
| time/                   |              |
|    fps                  | 1306         |
|    iterations           | 4            |
|    time_elapsed         | 6            |
|    total_timesteps      | 8192         |
| train/                  |              |
|    approx_kl            | 0.0039128335 |
|    clip_fraction        | 0.0105       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.85        |
|    explained_variance   | 0.102        |
|    learning_rate        | 0.0001       |
|    loss                 | 661          |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00417     |
|    std                  | 1.01         |
|    value_loss           | 1.68e+03     |
------------------------------------------
round3-instant-seed2 validation 10000-40: 12/60, base=307.765, shaped=297.732
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 267          |
|    ep_rew_mean          | 234          |
|    success_rate         | 0.0811       |
| time/                   |              |
|    fps                  | 785          |
|    iterations           | 5            |
|    time_elapsed         | 13           |
|    total_timesteps      | 10240        |
| train/                  |              |
|    approx_kl            | 0.0028651366 |
|    clip_fraction        | 0.00532      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.85        |
|    explained_variance   | 0.145        |
|    learning_rate        | 0.0001       |
|    loss                 | 596          |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00274     |
|    std                  | 1.01         |
|    value_loss           | 1.6e+03      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 269         |
|    ep_rew_mean          | 271         |
|    success_rate         | 0.111       |
| time/                   |             |
|    fps                  | 823         |
|    iterations           | 6           |
|    time_elapsed         | 14          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.002273361 |
|    clip_fraction        | 0.00347     |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.86       |
|    explained_variance   | 0.178       |
|    learning_rate        | 0.0001      |
|    loss                 | 984         |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0028     |
|    std                  | 1.01        |
|    value_loss           | 1.94e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 259          |
|    ep_rew_mean          | 294          |
|    success_rate         | 0.127        |
| time/                   |              |
|    fps                  | 861          |
|    iterations           | 7            |
|    time_elapsed         | 16           |
|    total_timesteps      | 14336        |
| train/                  |              |
|    approx_kl            | 0.0023497934 |
|    clip_fraction        | 0.00327      |
|    clip_range           | 0.2          |
